mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
92800,Volkswagen,Golf,Gasoline,0,0,6877,122.0,2011,VolkswagenGolf
96200,Renault,Megane,Gasoline,0,0,6950,110.0,2011,RenaultMegane
156000,Peugeot,308,Gasoline,0,0,6950,156.0,2011,Peugeot308
147000,Toyota,Auris,Electric/Gasoline,1,0,6950,99.0,2011,ToyotaAuris
91894,Renault,Scenic,Diesel,0,0,6970,131.0,2011,RenaultScenic
127500,Opel,Zafira,Gasoline,0,0,6972,116.0,2011,OpelZafira
115000,Mazda,3,Gasoline,1,0,6980,150.0,2011,Mazda3
104,Ford,Transit,Diesel,0,0,6990,86.0,2011,FordTransit
59580,Opel,Meriva,Diesel,1,0,6990,101.0,2011,OpelMeriva
84000,Volkswagen,Golf,Gasoline,0,0,6990,105.0,2011,VolkswagenGolf
194020,Audi,A4,Diesel,0,0,6999,120.0,2011,AudiA4
72000,Volkswagen,Polo,Gasoline,0,0,6999,60.0,2011,VolkswagenPolo
82000,Opel,Corsa,Gasoline,0,0,7000,101.0,2011,OpelCorsa
44800,Kia,Picanto,Gasoline,1,0,7850,86.0,2012,KiaPicanto
81970,Volkswagen,Golf,Gasoline,0,0,7850,105.0,2012,VolkswagenGolf
24000,Dacia,Duster,Gasoline,0,0,7900,105.0,2012,DaciaDuster
299900,BMW,118,Diesel,0,0,7950,143.0,2012,BMW118
104250,Opel,Astra,Gasoline,0,0,7950,140.0,2012,OpelAstra
151250,Peugeot,308,Diesel,0,0,7950,163.0,2012,Peugeot308
133500,BMW,118,Diesel,0,0,7980,143.0,2012,BMW118
105000,Opel,Astra,Gasoline,0,0,7980,179.0,2012,OpelAstra
114164,Ford,Focus,Gasoline,0,0,7990,125.0,2012,FordFocus
150000,BMW,118,Diesel,0,0,7999,143.0,2012,BMW118
165000,Mercedes-Benz,B 180,Diesel,0,0,8000,109.0,2012,Mercedes-BenzB 180
51200,Renault,Scenic,Gasoline,0,0,8000,131.0,2012,RenaultScenic
107000,Opel,Insignia,Diesel,0,0,8000,160.0,2012,OpelInsignia
130000,MINI,One,Gasoline,0,0,8000,98.0,2012,MINIOne
214000,BMW,320,Diesel,1,0,8199,184.0,2012,BMW320
73760,Opel,Zafira,Gasoline,0,0,8990,140.0,2013,OpelZafira
7400,Opel,Adam,Gasoline,0,0,8990,101.0,2013,OpelAdam
239211,BMW,520,Diesel,1,0,8990,184.0,2013,BMW520
86980,Ford,B-Max,Gasoline,0,0,8995,120.0,2013,FordB-Max
98000,Volkswagen,Golf Variant,Diesel,1,0,8999,105.0,2013,VolkswagenGolf Variant
98988,Ford,Transit,Diesel,0,0,8999,101.0,2013,FordTransit
41124,Opel,Adam,Gasoline,0,0,8999,101.0,2013,OpelAdam
170000,Volkswagen,Touran,Diesel,0,0,8999,140.0,2013,VolkswagenTouran
143316,Volkswagen,Touran,Gasoline,1,0,9000,140.0,2013,VolkswagenTouran
98100,SEAT,Leon,Gasoline,0,0,9100,122.0,2013,SEATLeon
113000,Audi,A1,Gasoline,0,0,9100,86.0,2013,AudiA1
94000,Volkswagen,Golf Variant,Diesel,0,0,9200,105.0,2013,VolkswagenGolf Variant
77000,Volkswagen,Golf Plus,Gasoline,1,0,9300,122.0,2013,VolkswagenGolf Plus
45600,Ford,Fiesta,Gasoline,0,0,8990,80.0,2014,FordFiesta
99756,Volkswagen,Polo,Gasoline,0,0,8990,105.0,2014,VolkswagenPolo
84600,Toyota,Yaris,Electric/Gasoline,1,0,8990,143.0,2014,ToyotaYaris
73000,Hyundai,iX20,Gasoline,0,0,8990,125.0,2014,HyundaiiX20
133180,Volkswagen,Golf Variant,Diesel,0,0,8990,105.0,2014,VolkswagenGolf Variant
22700,Volkswagen,up!,Gasoline,0,0,8990,60.0,2014,Volkswagenup!
53000,Skoda,Rapid/Spaceback,Gasoline,0,0,8999,105.0,2014,SkodaRapid/Spaceback
149786,BMW,116,Gasoline,0,0,8999,136.0,2014,BMW116
197500,Volkswagen,Passat Variant,Diesel,0,0,8999,140.0,2014,VolkswagenPassat Variant
57000,Kia,Ceed / cee'd,Gasoline,0,0,9000,99.0,2014,KiaCeed / cee'd
53286,Skoda,Fabia,Gasoline,0,0,9100,86.0,2014,SkodaFabia
84721,Toyota,Yaris,Gasoline,1,0,9200,101.0,2014,ToyotaYaris
111000,Audi,A1,Gasoline,0,0,9200,122.0,2014,AudiA1
87500,SEAT,Ibiza,Diesel,0,0,9290,105.0,2014,SEATIbiza
55000,Skoda,Rapid/Spaceback,Gasoline,0,0,9300,105.0,2014,SkodaRapid/Spaceback
77000,Volkswagen,Polo,Gasoline,0,0,9300,90.0,2014,VolkswagenPolo
166000,Volkswagen,Golf Variant,Diesel,1,0,9400,105.0,2014,VolkswagenGolf Variant
55000,Ford,C-Max,Gasoline,0,0,9450,101.0,2014,FordC-Max
140000,Volkswagen,Golf Variant,Diesel,1,0,9990,110.0,2015,VolkswagenGolf Variant
160000,Ford,Focus,Diesel,1,0,9999,120.0,2015,FordFocus
240000,Audi,A4,Diesel,0,0,9999,190.0,2015,AudiA4
28238,Opel,Meriva,Gasoline,0,0,10190,140.0,2015,OpelMeriva
114327,Opel,Insignia,Diesel,1,0,10200,131.0,2015,OpelInsignia
80575,Volkswagen,Polo,Diesel,0,0,10299,105.0,2015,VolkswagenPolo
79987,Ford,B-Max,Gasoline,1,0,10444,105.0,2015,FordB-Max
166554,Skoda,Superb,Diesel,0,0,10490,170.0,2015,SkodaSuperb
47295,Ford,C-Max,Gasoline,0,0,10490,101.0,2015,FordC-Max
90000,Opel,Insignia,Diesel,0,0,10499,170.0,2015,OpelInsignia
60000,Peugeot,208,Gasoline,0,0,10750,110.0,2015,Peugeot208
9500,Hyundai,iX20,Gasoline,0,0,10750,125.0,2015,HyundaiiX20
118000,Volkswagen,Golf,Diesel,0,0,10950,150.0,2015,VolkswagenGolf
87000,Volkswagen,Golf,Gasoline,0,0,10950,110.0,2015,VolkswagenGolf
29000,Suzuki,Swift,Gasoline,0,0,8990,94.0,2016,SuzukiSwift
198000,Volkswagen,Passat Variant,Diesel,0,0,8999,120.0,2016,VolkswagenPassat Variant
15000,Dacia,Sandero,Gasoline,0,0,9000,90.0,2016,DaciaSandero
57800,Mazda,2,Gasoline,0,0,9250,90.0,2016,Mazda2
86900,Ford,B-Max,Gasoline,0,0,9380,101.0,2016,FordB-Max
56617,Volkswagen,up!,Gasoline,0,0,9440,90.0,2016,Volkswagenup!
70604,Toyota,Yaris,Gasoline,0,0,9490,69.0,2016,ToyotaYaris
68656,Toyota,Yaris,Gasoline,0,0,9490,69.0,2016,ToyotaYaris
64783,Toyota,Yaris,Gasoline,0,0,9490,69.0,2016,ToyotaYaris
146148,Opel,Astra,Diesel,0,0,9495,136.0,2016,OpelAstra
106300,Opel,Astra,Diesel,0,0,9499,160.0,2016,OpelAstra
179200,Volkswagen,Passat Variant,Diesel,0,0,9499,120.0,2016,VolkswagenPassat Variant
63000,Opel,Adam,Gasoline,0,0,9500,87.0,2016,OpelAdam
154494,Peugeot,308,Diesel,0,0,9500,120.0,2016,Peugeot308
72500,Suzuki,Swift,Gasoline,0,0,9650,136.0,2016,SuzukiSwift
