mileage,make,model,fuel,gear,offerType,price,hp,year,make_model
92800,Volkswagen,Golf,1,0,0,6877,122.0,2011,VolkswagenGolf
96200,Renault,Megane,1,0,0,6950,110.0,2011,RenaultMegane
91894,Renault,Scenic,0,0,0,6970,131.0,2011,RenaultScenic
127500,Opel,Zafira,1,0,0,6972,116.0,2011,OpelZafira
104,Ford,Transit,0,0,0,6990,86.0,2011,FordTransit
59580,Opel,Meriva,0,1,0,6990,101.0,2011,OpelMeriva
84000,Volkswagen,Golf,1,0,0,6990,105.0,2011,VolkswagenGolf
72000,Volkswagen,Polo,1,0,0,6999,60.0,2011,VolkswagenPolo
82000,Opel,Corsa,1,0,0,7000,101.0,2011,OpelCorsa
81970,Volkswagen,Golf,1,0,0,7850,105.0,2012,VolkswagenGolf
104250,Opel,Astra,1,0,0,7950,140.0,2012,OpelAstra
105000,Opel,Astra,1,0,0,7980,179.0,2012,OpelAstra
114164,Ford,Focus,1,0,0,7990,125.0,2012,FordFocus
51200,Renault,Scenic,1,0,0,8000,131.0,2012,RenaultScenic
107000,Opel,Insignia,0,0,0,8000,160.0,2012,OpelInsignia
73760,Opel,Zafira,1,0,0,8990,140.0,2013,OpelZafira
7400,Opel,Adam,1,0,0,8990,101.0,2013,OpelAdam
86980,Ford,B-Max,1,0,0,8995,120.0,2013,FordB-Max
98000,Volkswagen,Golf Variant,0,1,0,8999,105.0,2013,VolkswagenGolf Variant
98988,Ford,Transit,0,0,0,8999,101.0,2013,FordTransit
41124,Opel,Adam,1,0,0,8999,101.0,2013,OpelAdam
170000,Volkswagen,Touran,0,0,0,8999,140.0,2013,VolkswagenTouran
143316,Volkswagen,Touran,1,1,0,9000,140.0,2013,VolkswagenTouran
94000,Volkswagen,Golf Variant,0,0,0,9200,105.0,2013,VolkswagenGolf Variant
77000,Volkswagen,Golf Plus,1,1,0,9300,122.0,2013,VolkswagenGolf Plus
45600,Ford,Fiesta,1,0,0,8990,80.0,2014,FordFiesta
99756,Volkswagen,Polo,1,0,0,8990,105.0,2014,VolkswagenPolo
133180,Volkswagen,Golf Variant,0,0,0,8990,105.0,2014,VolkswagenGolf Variant
22700,Volkswagen,up!,1,0,0,8990,60.0,2014,Volkswagenup!
53000,Skoda,Rapid/Spaceback,1,0,0,8999,105.0,2014,SkodaRapid/Spaceback
197500,Volkswagen,Passat Variant,0,0,0,8999,140.0,2014,VolkswagenPassat Variant
53286,Skoda,Fabia,1,0,0,9100,86.0,2014,SkodaFabia
55000,Skoda,Rapid/Spaceback,1,0,0,9300,105.0,2014,SkodaRapid/Spaceback
77000,Volkswagen,Polo,1,0,0,9300,90.0,2014,VolkswagenPolo
166000,Volkswagen,Golf Variant,0,1,0,9400,105.0,2014,VolkswagenGolf Variant
55000,Ford,C-Max,1,0,0,9450,101.0,2014,FordC-Max
140000,Volkswagen,Golf Variant,0,1,0,9990,110.0,2015,VolkswagenGolf Variant
160000,Ford,Focus,0,1,0,9999,120.0,2015,FordFocus
28238,Opel,Meriva,1,0,0,10190,140.0,2015,OpelMeriva
114327,Opel,Insignia,0,1,0,10200,131.0,2015,OpelInsignia
80575,Volkswagen,Polo,0,0,0,10299,105.0,2015,VolkswagenPolo
79987,Ford,B-Max,1,1,0,10444,105.0,2015,FordB-Max
166554,Skoda,Superb,0,0,0,10490,170.0,2015,SkodaSuperb
47295,Ford,C-Max,1,0,0,10490,101.0,2015,FordC-Max
90000,Opel,Insignia,0,0,0,10499,170.0,2015,OpelInsignia
118000,Volkswagen,Golf,0,0,0,10950,150.0,2015,VolkswagenGolf
87000,Volkswagen,Golf,1,0,0,10950,110.0,2015,VolkswagenGolf
198000,Volkswagen,Passat Variant,0,0,0,8999,120.0,2016,VolkswagenPassat Variant
86900,Ford,B-Max,1,0,0,9380,101.0,2016,FordB-Max
56617,Volkswagen,up!,1,0,0,9440,90.0,2016,Volkswagenup!
146148,Opel,Astra,0,0,0,9495,136.0,2016,OpelAstra
106300,Opel,Astra,0,0,0,9499,160.0,2016,OpelAstra
179200,Volkswagen,Passat Variant,0,0,0,9499,120.0,2016,VolkswagenPassat Variant
63000,Opel,Adam,1,0,0,9500,87.0,2016,OpelAdam
93300,Opel,Astra,0,0,0,9680,110.0,2016,OpelAstra
96999,Opel,Astra,0,0,0,9690,136.0,2016,OpelAstra
100870,Volkswagen,up!,1,0,0,6445,60.0,2017,Volkswagenup!
35450,Skoda,Citigo,1,0,0,6445,60.0,2017,SkodaCitigo
65635,Volkswagen,up!,1,0,0,6490,60.0,2017,Volkswagenup!
35093,Volkswagen,up!,1,0,0,6750,60.0,2017,Volkswagenup!
